from club,to club,player name,age,position,fee,transfer type,period,year,season
SL Benfica,Atlético Madrid,Roberto,41,Central Midfield,5.4M,sold,Summer,2013,2013/2014
SL Benfica,Atlético de Madrid,Roberto,41,Central Midfield,5.4M,sold,Summer,2013,2013/2014
Atlético de Madrid,Olympiacos,Roberto,42,Central Midfield,5.4M,sold,Summer,2014,2014/2015
FC Arouca,FC Tosno (-2018),Roberto,42,Central Midfield,NA,on loan,Summer,2014,2014/2015
FC Tosno (-2018),FC Arouca,Roberto,42,Central Midfield,NA,on loan,Summer,2014,2014/2015
Olympiacos,Atlético de Madrid,Roberto,42,Central Midfield,NA,on loan,Summer,2014,2014/2015
FC Arouca,Moreirense FC,Roberto,44,Central Midfield,NA,on loan,Summer,2016,2016/2017
FC Arouca,Moreirense FC,Roberto,44,Central Midfield,NA,on loan,Summer,2016,2016/2017
Olympiacos,RCD Espanyol Barcelona,Roberto,44,Central Midfield,2.7M,sold,Summer,2016,2016/2017
Moreirense FC,FC Arouca,Roberto,45,Central Midfield,NA,on loan,Summer,2017,2017/2018
RCD Espanyol Barcelona,Málaga CF,Roberto,45,Central Midfield,NA,on loan,Summer,2017,2017/2018
RCD Espanyol Barcelona,Málaga CF,Roberto,45,Central Midfield,NA,on loan,Summer,2017,2017/2018
Málaga CF,RCD Espanyol Barcelona,Roberto,46,Central Midfield,NA,on loan,Summer,2018,2018/2019
RCD Espanyol Barcelona,West Ham United,Roberto,47,Central Midfield,NA,sold,Summer,2019,2019/2020
RCD Espanyol Barcelona,West Ham United,Roberto,47,Central Midfield,NA,sold,Summer,2019,2019/2020
West Ham United,Deportivo Alavés,Roberto,47,Central Midfield,NA,on loan,Winter,2019,2019/2020
West Ham United,Deportivo Alavés,Roberto,47,Central Midfield,NA,on loan,Winter,2019,2019/2020
Deportivo Alavés,West Ham United,Roberto,48,Central Midfield,NA,on loan,Summer,2020,2020/2021
Deportivo Alavés,West Ham United,Roberto,48,Central Midfield,NA,on loan,Summer,2020,2020/2021
West Ham United,Real Valladolid CF,Roberto,48,Central Midfield,NA,sold,Summer,2020,2020/2021
West Ham United,Real Valladolid CF,Roberto,48,Central Midfield,NA,sold,Summer,2020,2020/2021
Leixões SC,Gil Vicente FC,Adriano,19,Centre-Forward,NA,sold,Summer,2000,2000/2001
FC Internazionale,AC Fiorentina,Adriano,20,Centre-Forward,NA,on loan,Winter,2001,2001/2002
FC Internazionale,AC Fiorentina,Adriano,20,Centre-Forward,NA,on loan,Winter,2001,2001/2002
Flamengo,FC Internazionale,Adriano,20,Centre-Forward,11.87M,sold,Summer,2001,2001/2002
FC Internazionale,AC Parma,Adriano,21,Centre-Forward,13.05M,sold,Summer,2002,2002/2003
FC Internazionale,AC Parma,Adriano,21,Centre-Forward,13.05M,sold,Summer,2002,2002/2003
Palmeiras,CD Nacional,Adriano,21,Centre-Forward,NA,sold,Summer,2002,2002/2003
AC Parma,FC Internazionale,Adriano,22,Centre-Forward,21.06M,sold,Winter,2003,2003/2004
AC Parma,FC Internazionale,Adriano,22,Centre-Forward,21.06M,sold,Winter,2003,2003/2004
Coritiba FC,Sevilla FC,Adriano,23,Centre-Forward,1.89M,sold,Winter,2004,2004/2005
FC Penafiel,Comercial-SP,Adriano,23,Centre-Forward,NA,on loan,Summer,2004,2004/2005
Grêmio,US Palermo,Adriano,23,Centre-Forward,NA,sold,Summer,2004,2004/2005
US Palermo,Atalanta BC,Adriano,23,Centre-Forward,NA,on loan,Winter,2004,2004/2005
US Palermo,Atalanta BC,Adriano,23,Centre-Forward,NA,on loan,Winter,2004,2004/2005
Valenciano,Rio Ave FC,Adriano,23,Centre-Forward,NA,sold,Summer,2004,2004/2005
CD Nacional,Cruzeiro,Adriano,24,Centre-Forward,0.27M,sold,Summer,2005,2005/2006
Cruzeiro,FC Porto,Adriano,24,Centre-Forward,NA,on loan,Winter,2005,2005/2006
Figueirense FC,Saturn Ramenskoe,Adriano,24,Centre-Forward,0.45M,sold,Winter,2005,2005/2006
Gil Vicente FC,Without Club,Adriano,24,Centre-Forward,NA,sold,Summer,2005,2005/2006
US Palermo,Atalanta BC,Adriano,24,Centre-Forward,NA,sold,Summer,2005,2005/2006
Cruzeiro,FC Porto,Adriano,25,Centre-Forward,1.08M,sold,Summer,2006,2006/2007
FC Porto,Cruzeiro,Adriano,25,Centre-Forward,NA,on loan,Summer,2006,2006/2007
Saturn Ramenskoe,Denizlispor,Adriano,25,Centre-Forward,0.36M,sold,Summer,2006,2006/2007
Atalanta BC,AS Monaco,Adriano,26,Centre-Forward,2.25M,sold,Summer,2007,2007/2008
Atalanta BC,AS Monaco,Adriano,26,Centre-Forward,2.25M,sold,Summer,2007,2007/2008
FC Internazionale,São Paulo,Adriano,26,Centre-Forward,NA,on loan,Winter,2007,2007/2008
Paraná,CS Marítimo,Adriano,26,Centre-Forward,NA,sold,Winter,2007,2007/2008
CS Marítimo,Bragantino,Adriano,27,Centre-Forward,NA,on loan,Summer,2008,2008/2009
FC Internazionale,Flamengo,Adriano,27,Centre-Forward,NA,sold,Summer,2008,2008/2009
Internacional,Málaga CF,Adriano,27,Centre-Forward,NA,on loan,Winter,2008,2008/2009
Pandurii,Rio Ave FC,Adriano,27,Centre-Forward,NA,on loan,Summer,2008,2008/2009
Rio Ave FC,CF União Madeira,Adriano,27,Centre-Forward,NA,sold,Summer,2008,2008/2009
Benfica U19,SL Benfica,Adriano,28,Centre-Forward,NA,sold,Summer,2009,2009/2010
Bragantino,CS Marítimo,Adriano,28,Centre-Forward,NA,on loan,Summer,2009,2009/2010
CS Marítimo,Marítimo B,Adriano,28,Centre-Forward,NA,sold,Summer,2009,2009/2010
Carregado,SL Benfica,Adriano,28,Centre-Forward,NA,on loan,Winter,2009,2009/2010
Coritiba FC,Rio Ave FC,Adriano,28,Centre-Forward,NA,sold,Summer,2009,2009/2010
FC Porto,SC Braga,Adriano,28,Centre-Forward,NA,sold,Summer,2009,2009/2010
FC Porto,SC Braga,Adriano,28,Centre-Forward,NA,sold,Summer,2009,2009/2010
Málaga CF,Internacional,Adriano,28,Centre-Forward,NA,on loan,Summer,2009,2009/2010
SL Benfica,Atlético CP,Adriano,28,Centre-Forward,NA,on loan,Winter,2009,2009/2010
SL Benfica,Carregado,Adriano,28,Centre-Forward,NA,on loan,Summer,2009,2009/2010
AS Roma,Corinthians,Adriano,29,Centre-Forward,NA,sold,Winter,2010,2010/2011
Atlético CP,SL Benfica,Adriano,29,Centre-Forward,NA,on loan,Summer,2010,2010/2011
Flamengo,AS Roma,Adriano,29,Centre-Forward,NA,sold,Summer,2010,2010/2011
Rio Ave FC,Without Club,Adriano,29,Centre-Forward,NA,sold,Summer,2010,2010/2011
SC Braga,Without Club,Adriano,29,Centre-Forward,NA,sold,Summer,2010,2010/2011
SL Benfica,Barueri,Adriano,29,Centre-Forward,NA,sold,Winter,2010,2010/2011
Sevilla FC,FC Barcelona,Adriano,29,Centre-Forward,8.55M,sold,Summer,2010,2010/2011
Sevilla FC,FC Barcelona,Adriano,29,Centre-Forward,8.55M,sold,Summer,2010,2010/2011
AS Monaco,Retired,Adriano,32,Centre-Forward,NA,sold,Summer,2013,2013/2014
FC Barcelona,Besiktas,Adriano,35,Centre-Forward,2.07M,sold,Summer,2016,2016/2017
Boro U18,Middlesbrough FC,Ben Roberts,17,Goalkeeper,NA,sold,Summer,1992,1992/1993
Boro U18,Middlesbrough FC,Ben Roberts,17,Goalkeeper,NA,sold,all-year,1992,1992/1993
Hartlepool Utd.,Middlesbrough FC,Ben Roberts,20,Goalkeeper,NA,on loan,Winter,1995,1995/1996
Hartlepool Utd.,Middlesbrough FC,Ben Roberts,20,Goalkeeper,NA,on loan,all-year,1995,1995/1996
Middlesbrough FC,Hartlepool Utd.,Ben Roberts,20,Goalkeeper,NA,on loan,Summer,1995,1995/1996
Middlesbrough FC,Hartlepool Utd.,Ben Roberts,20,Goalkeeper,NA,on loan,Winter,1995,1995/1996
Middlesbrough FC,Hartlepool Utd.,Ben Roberts,20,Goalkeeper,NA,on loan,all-year,1995,1995/1996
Middlesbrough FC,Wycombe Wanderers,Ben Roberts,20,Goalkeeper,NA,on loan,Winter,1995,1995/1996
Middlesbrough FC,Wycombe Wanderers,Ben Roberts,20,Goalkeeper,NA,on loan,all-year,1995,1995/1996
Wycombe Wanderers,Middlesbrough FC,Ben Roberts,20,Goalkeeper,NA,on loan,Winter,1995,1995/1996
Wycombe Wanderers,Middlesbrough FC,Ben Roberts,20,Goalkeeper,NA,on loan,all-year,1995,1995/1996
Bradford City,Middlesbrough FC,Ben Roberts,21,Goalkeeper,NA,on loan,Summer,1996,1996/1997
Bradford City,Middlesbrough FC,Ben Roberts,21,Goalkeeper,NA,on loan,all-year,1996,1996/1997
Middlesbrough FC,Bradford City,Ben Roberts,21,Goalkeeper,NA,on loan,Summer,1996,1996/1997
Middlesbrough FC,Bradford City,Ben Roberts,21,Goalkeeper,NA,on loan,all-year,1996,1996/1997
Middlesbrough FC,Millwall FC,Ben Roberts,23,Goalkeeper,NA,on loan,Winter,1998,1998/1999
Middlesbrough FC,Millwall FC,Ben Roberts,23,Goalkeeper,NA,on loan,all-year,1998,1998/1999
Middlesbrough FC,Millwall FC,Ben Roberts,23,Goalkeeper,NA,on loan,all-year,1998,1998/1999
Millwall FC,Middlesbrough FC,Ben Roberts,23,Goalkeeper,NA,on loan,Summer,1998,1998/1999
Millwall FC,Middlesbrough FC,Ben Roberts,23,Goalkeeper,NA,on loan,all-year,1998,1998/1999
Millwall FC,Middlesbrough FC,Ben Roberts,23,Goalkeeper,NA,on loan,all-year,1998,1998/1999
Luton Town,Middlesbrough FC,Ben Roberts,24,Goalkeeper,NA,on loan,Winter,1999,1999/2000
Luton Town,Middlesbrough FC,Ben Roberts,24,Goalkeeper,NA,on loan,all-year,1999,1999/2000
Luton Town,Middlesbrough FC,Ben Roberts,24,Goalkeeper,NA,on loan,all-year,1999,1999/2000
Middlesbrough FC,Luton Town,Ben Roberts,24,Goalkeeper,NA,on loan,Winter,1999,1999/2000
Middlesbrough FC,Luton Town,Ben Roberts,24,Goalkeeper,NA,on loan,all-year,1999,1999/2000
Middlesbrough FC,Luton Town,Ben Roberts,24,Goalkeeper,NA,on loan,all-year,1999,1999/2000
Middlesbrough FC,Charlton Athletic,Ben Roberts,25,Goalkeeper,NA,sold,Summer,2000,2000/2001
Middlesbrough FC,Charlton Athletic,Ben Roberts,25,Goalkeeper,NA,sold,Summer,2000,2000/2001
Middlesbrough FC,Charlton Athletic,Ben Roberts,25,Goalkeeper,NA,sold,all-year,2000,2000/2001
Middlesbrough FC,Charlton Athletic,Ben Roberts,25,Goalkeeper,NA,sold,all-year,2000,2000/2001
Charlton Athletic,Reading FC,Ben Roberts,26,Goalkeeper,NA,on loan,Winter,2001,2001/2002
Charlton Athletic,Reading FC,Ben Roberts,26,Goalkeeper,NA,on loan,all-year,2001,2001/2002
Charlton Athletic,Reading FC,Ben Roberts,26,Goalkeeper,NA,on loan,all-year,2001,2001/2002
Reading FC,Charlton Athletic,Ben Roberts,26,Goalkeeper,NA,on loan,Winter,2001,2001/2002
Reading FC,Charlton Athletic,Ben Roberts,26,Goalkeeper,NA,on loan,all-year,2001,2001/2002
Reading FC,Charlton Athletic,Ben Roberts,26,Goalkeeper,NA,on loan,all-year,2001,2001/2002
Brighton & Hove Albion,Charlton Athletic,Ben Roberts,27,Goalkeeper,NA,on loan,Winter,2002,2002/2003
Brighton & Hove Albion,Charlton Athletic,Ben Roberts,27,Goalkeeper,NA,on loan,all-year,2002,2002/2003
Charlton Athletic,Brighton & Hove Albion,Ben Roberts,27,Goalkeeper,NA,on loan,Winter,2002,2002/2003
Charlton Athletic,Brighton & Hove Albion,Ben Roberts,27,Goalkeeper,NA,on loan,all-year,2002,2002/2003
Charlton Athletic,Luton Town,Ben Roberts,27,Goalkeeper,NA,on loan,Summer,2002,2002/2003
Charlton Athletic,Luton Town,Ben Roberts,27,Goalkeeper,NA,on loan,all-year,2002,2002/2003
Charlton Athletic,Luton Town,Ben Roberts,27,Goalkeeper,NA,on loan,all-year,2002,2002/2003
Luton Town,Charlton Athletic,Ben Roberts,27,Goalkeeper,NA,on loan,Winter,2002,2002/2003
Luton Town,Charlton Athletic,Ben Roberts,27,Goalkeeper,NA,on loan,all-year,2002,2002/2003
Luton Town,Charlton Athletic,Ben Roberts,27,Goalkeeper,NA,on loan,all-year,2002,2002/2003
Charlton Athletic,Brighton & Hove Albion,Ben Roberts,28,Goalkeeper,NA,sold,Summer,2003,2003/2004
Charlton Athletic,Brighton & Hove Albion,Ben Roberts,28,Goalkeeper,NA,sold,all-year,2003,2003/2004
Brighton & Hove Albion,Derry City,Ben Roberts,30,Goalkeeper,NA,sold,Summer,2005,2005/2006
Vitória Setúbal FC,Operário Lagoa,Nuno Santos,13,Left-Back,NA,on loan,Summer,1993,1993/1994
Operário Lagoa,Vitória Setúbal FC,Nuno Santos,14,Left-Back,NA,on loan,Summer,1994,1994/1995
Lourinhanense,Sporting CP,Nuno Santos,17,Left-Back,NA,on loan,Summer,1997,1997/1998
Vitória Setúbal FC,Leeds United,Nuno Santos,18,Left-Back,NA,sold,Summer,1998,1998/1999
Vitória Setúbal FC,Leeds United,Nuno Santos,18,Left-Back,NA,sold,Summer,1998,1998/1999
Vitória Setúbal FC,Leeds United,Nuno Santos,18,Left-Back,NA,sold,all-year,1998,1998/1999
Leeds United,SL Benfica,Nuno Santos,19,Left-Back,NA,sold,Summer,1999,1999/2000
Leeds United,SL Benfica,Nuno Santos,19,Left-Back,NA,sold,Summer,1999,1999/2000
Leeds United,SL Benfica,Nuno Santos,19,Left-Back,NA,sold,all-year,1999,1999/2000
Sporting CP,Lourinhanense,Nuno Santos,19,Left-Back,NA,on loan,Summer,1999,1999/2000
Lourinhanense,Sporting CP,Nuno Santos,20,Left-Back,NA,on loan,Summer,2000,2000/2001
SL Benfica,CD Badajoz,Nuno Santos,20,Left-Back,NA,sold,Summer,2000,2000/2001
CD Santa Clara,SC Beira-Mar,Nuno Santos,21,Left-Back,NA,sold,Summer,2001,2001/2002
CD Santa Clara,SC Beira-Mar,Nuno Santos,21,Left-Back,NA,sold,Summer,2001,2001/2002
Sporting CP,CF Estrela Amadora SAD,Nuno Santos,21,Left-Back,NA,on loan,Summer,2001,2001/2002
SC Beira-Mar,SL Benfica,Nuno Santos,22,Left-Back,NA,sold,Summer,2002,2002/2003
SC Beira-Mar,SL Benfica,Nuno Santos,22,Left-Back,NA,sold,Summer,2002,2002/2003
CF Estrela Amadora SAD,Sporting CP,Nuno Santos,23,Left-Back,NA,on loan,Summer,2003,2003/2004
CF Estrela Amadora SAD,Sporting CP,Nuno Santos,23,Left-Back,NA,on loan,Summer,2003,2003/2004
SL Benfica,Vitória Setúbal FC,Nuno Santos,23,Left-Back,NA,sold,Summer,2003,2003/2004
Sporting CP,FC Penafiel,Nuno Santos,23,Left-Back,NA,on loan,Winter,2003,2003/2004
SL Benfica,CD Santa Clara,Nuno Santos,24,Left-Back,NA,sold,Summer,2004,2004/2005
Vitória Setúbal FC,SL Benfica,Nuno Santos,24,Left-Back,NA,on loan,Summer,2004,2004/2005
Vitória Setúbal FC,SL Benfica,Nuno Santos,24,Left-Back,NA,on loan,Summer,2004,2004/2005
FC Penafiel,Sporting CP,Nuno Santos,26,Left-Back,NA,on loan,Summer,2006,2006/2007
Sporting CP,Vit. Guimarães,Nuno Santos,26,Left-Back,NA,sold,Summer,2006,2006/2007
Vit. Guimarães,Vitória Setúbal FC,Nuno Santos,29,Left-Back,NA,sold,Summer,2009,2009/2010
Vitória Guimarães SC,Vitória Setúbal FC,Nuno Santos,29,Left-Back,NA,sold,Summer,2009,2009/2010
CD Santa Clara,FC Paços de Ferreira,Nuno Santos,30,Left-Back,NA,sold,Summer,2010,2010/2011
Portimonense SC,Gil Vicente FC,Nuno Santos,30,Left-Back,NA,sold,Summer,2010,2010/2011
Vitória Setúbal FC,Portimonense SC,Nuno Santos,30,Left-Back,NA,sold,Summer,2010,2010/2011
Vitória Setúbal FC,Portimonense SC,Nuno Santos,30,Left-Back,NA,sold,Summer,2010,2010/2011
Gil Vicente FC,SC Covilhã,Nuno Santos,31,Left-Back,NA,sold,Summer,2011,2011/2012
FC Paços de Ferreira,CD Tondela,Nuno Santos,34,Left-Back,NA,sold,Summer,2014,2014/2015
FC Penafiel,GD Ribeirão,Nuno Santos,34,Left-Back,NA,sold,Summer,2014,2014/2015
Benfica B,Vitória Setúbal FC,Nuno Santos,36,Left-Back,NA,on loan,Summer,2016,2016/2017
CD Tondela,Académica Coimbra,Nuno Santos,36,Left-Back,NA,sold,Summer,2016,2016/2017
Benfica B,Rio Ave FC,Nuno Santos,37,Left-Back,NA,sold,Summer,2017,2017/2018
Vitória Setúbal FC,Benfica B,Nuno Santos,37,Left-Back,NA,on loan,Summer,2017,2017/2018
Benfica B,Moreirense FC,Nuno Santos,39,Left-Back,NA,on loan,Winter,2019,2019/2020
Benfica B,SL Benfica,Nuno Santos,40,Left-Back,NA,sold,Summer,2020,2020/2021
Moreirense FC,Benfica B,Nuno Santos,40,Left-Back,NA,on loan,Summer,2020,2020/2021
Rio Ave FC,Sporting CP,Nuno Santos,40,Left-Back,3.38M,sold,Summer,2020,2020/2021
Rio Ave FC,Sporting CP,Nuno Santos,40,Left-Back,3.38M,sold,Summer,2020,2020/2021
SL Benfica,Boavista FC,Nuno Santos,40,Left-Back,NA,on loan,Summer,2020,2020/2021
SL Benfica,Boavista FC,Nuno Santos,40,Left-Back,NA,on loan,Summer,2020,2020/2021
Boavista FC,SL Benfica,Nuno Santos,41,Left-Back,NA,on loan,Summer,2021,2021/2022
Boavista FC,SL Benfica,Nuno Santos,41,Left-Back,NA,on loan,Summer,2021,2021/2022
SL Benfica,FC Paços de Ferreira,Nuno Santos,41,Left-Back,NA,on loan,Summer,2021,2021/2022
SL Benfica,Paços Ferreira,Nuno Santos,41,Left-Back,NA,on loan,Summer,2021,2021/2022
União Coimbra,Académica Coimbra,Eduardo,19,Goalkeeper,NA,sold,Summer,2002,2002/2003
RSC Charleroi,FC Toulouse,Eduardo,20,Goalkeeper,NA,sold,Summer,2003,2003/2004
Académica Coimbra,Pombal,Eduardo,21,Goalkeeper,NA,on loan,Summer,2004,2004/2005
Braga B,SC Braga,Eduardo,22,Goalkeeper,NA,sold,Summer,2005,2005/2006
FC Toulouse,FC Basel,Eduardo,22,Goalkeeper,NA,sold,Summer,2005,2005/2006
Pombal,Académica Coimbra,Eduardo,22,Goalkeeper,NA,on loan,Summer,2005,2005/2006
SC Braga,SC Beira-Mar,Eduardo,23,Goalkeeper,NA,on loan,Summer,2006,2006/2007
SC Braga,SC Beira-Mar,Eduardo,23,Goalkeeper,NA,on loan,Summer,2006,2006/2007
Académica Coimbra,GD Tourizense,Eduardo,24,Goalkeeper,NA,sold,Summer,2007,2007/2008
Dinamo Zagreb,Arsenal FC,Eduardo,24,Goalkeeper,12.15M,sold,Summer,2007,2007/2008
SC Beira-Mar,SC Braga,Eduardo,24,Goalkeeper,NA,on loan,Summer,2007,2007/2008
SC Braga,Vitória Setúbal FC,Eduardo,24,Goalkeeper,NA,on loan,Summer,2007,2007/2008
SC Braga,Vitória Setúbal FC,Eduardo,24,Goalkeeper,NA,on loan,Summer,2007,2007/2008
Vitória Setúbal FC,SC Braga,Eduardo,25,Goalkeeper,NA,on loan,Summer,2008,2008/2009
Vitória Setúbal FC,SC Braga,Eduardo,25,Goalkeeper,NA,on loan,Summer,2008,2008/2009
EA Guingamp,RC Lens,Eduardo,26,Goalkeeper,2.7M,sold,Summer,2009,2009/2010
Arsenal FC,Shakhtar D.,Eduardo,27,Goalkeeper,6.48M,sold,Summer,2010,2010/2011
SC Braga,Genoa 1893,Eduardo,27,Goalkeeper,4.05M,sold,Summer,2010,2010/2011
SC Braga,Genoa CFC,Eduardo,27,Goalkeeper,4.05M,sold,Summer,2010,2010/2011
Genoa 1893,SL Benfica,Eduardo,28,Goalkeeper,NA,on loan,Summer,2011,2011/2012
Genoa CFC,SL Benfica,Eduardo,28,Goalkeeper,NA,on loan,Summer,2011,2011/2012
RC Lens,AC Ajaccio,Eduardo,28,Goalkeeper,NA,sold,Winter,2011,2011/2012
AC Ajaccio,Without Club,Eduardo,29,Goalkeeper,NA,sold,Winter,2012,2012/2013
Genoa CFC,Istanbul BBSK,Eduardo,29,Goalkeeper,NA,on loan,Summer,2012,2012/2013
SL Benfica,Genoa 1893,Eduardo,29,Goalkeeper,NA,on loan,Summer,2012,2012/2013
AC Ajaccio,FC Metz,Eduardo,30,Goalkeeper,NA,sold,Winter,2013,2013/2014
Genoa 1893,SC Braga,Eduardo,30,Goalkeeper,NA,on loan,Summer,2013,2013/2014
Genoa CFC,SC Braga,Eduardo,30,Goalkeeper,NA,on loan,Summer,2013,2013/2014
Without Club,AC Ajaccio,Eduardo,30,Goalkeeper,NA,sold,Summer,2013,2013/2014
FC Metz,River-PI,Eduardo,31,Goalkeeper,NA,sold,Summer,2014,2014/2015
Genoa CFC,Dinamo Zagreb,Eduardo,31,Goalkeeper,NA,sold,Summer,2014,2014/2015
SC Braga,Genoa 1893,Eduardo,31,Goalkeeper,NA,on loan,Summer,2014,2014/2015
Dinamo Zagreb,Chelsea FC,Eduardo,33,Goalkeeper,NA,sold,Summer,2016,2016/2017
Fluminense,GD Estoril Praia,Eduardo,33,Goalkeeper,NA,on loan,Summer,2016,2016/2017
Fluminense,GD Estoril Praia,Eduardo,34,Goalkeeper,0.023M,sold,Summer,2017,2017/2018
GD Estoril Praia,Fluminense,Eduardo,34,Goalkeeper,NA,on loan,Summer,2017,2017/2018
Chelsea FC,Vitesse Arnhem,Eduardo,35,Goalkeeper,NA,on loan,Summer,2018,2018/2019
Chelsea FC,Vitesse Arnhem,Eduardo,35,Goalkeeper,NA,on loan,Summer,2018,2018/2019
Estoril Praia,SC Braga,Eduardo,35,Goalkeeper,1.13M,sold,Summer,2018,2018/2019
Chelsea FC,SC Braga,Eduardo,36,Goalkeeper,NA,sold,Summer,2019,2019/2020
Chelsea FC,SC Braga,Eduardo,36,Goalkeeper,NA,sold,Summer,2019,2019/2020
SC Braga,AO Xanthi,Eduardo,36,Goalkeeper,NA,on loan,Summer,2019,2019/2020
SC Braga,Retired,Eduardo,36,Goalkeeper,NA,sold,Summer,2019,2019/2020
Vitesse Arnhem,Chelsea FC,Eduardo,36,Goalkeeper,NA,on loan,Summer,2019,2019/2020
Vitesse Arnhem,Chelsea FC,Eduardo,36,Goalkeeper,NA,on loan,Summer,2019,2019/2020
AO Xanthi,SC Braga,Eduardo,37,Goalkeeper,NA,on loan,Summer,2020,2020/2021
SC Braga,Náutico,Eduardo,38,Goalkeeper,NA,on loan,Winter,2021,2021/2022
Estoril Praia,CF Estrela Amadora SAD,Paulinho,5,Central Midfield,NA,sold,Summer,1993,1993/1994
Estoril Praia,CF Estrela Amadora SAD,Paulinho,5,Central Midfield,NA,sold,Summer,1993,1993/1994
Salgueiros U19,SC Salgueiros,Paulinho,6,Central Midfield,NA,sold,Summer,1994,1994/1995
Leça FC,América-MG,Paulinho,8,Central Midfield,NA,sold,Winter,1996,1996/1997
SC Salgueiros,Unknown,Paulinho,8,Central Midfield,NA,sold,Summer,1996,1996/1997
CF Estrela Amadora SAD,SC Salgueiros,Paulinho,9,Central Midfield,NA,sold,Summer,1997,1997/1998
CF Estrela Amadora SAD,SC Salgueiros,Paulinho,9,Central Midfield,NA,sold,Summer,1997,1997/1998
SC Salgueiros,Estoril Praia,Paulinho,12,Central Midfield,NA,sold,Summer,2000,2000/2001
Juventude,AS Livorno,Paulinho,16,Central Midfield,0.09M,sold,Winter,2004,2004/2005
AS Livorno,Grosseto,Paulinho,19,Central Midfield,NA,on loan,Summer,2007,2007/2008
AS Livorno,Sorrento,Paulinho,21,Central Midfield,NA,on loan,Summer,2009,2009/2010
Leixões SC,Moreirense FC,Paulinho,24,Central Midfield,NA,sold,Summer,2012,2012/2013
CD Trofense,Gil Vicente FC,Paulinho,25,Central Midfield,NA,sold,Summer,2013,2013/2014
Corinthians,Tottenham Hotspur,Paulinho,25,Central Midfield,17.75M,sold,Summer,2013,2013/2014
América-MG,CD Nacional,Paulinho,27,Central Midfield,NA,sold,Winter,2015,2015/2016
Moreirense FC,CF União Madeira,Paulinho,27,Central Midfield,NA,sold,Summer,2015,2015/2016
Moreirense FC,CF União Madeira,Paulinho,27,Central Midfield,NA,sold,Summer,2015,2015/2016
Tottenham Hotspur,GZ Evergrande,Paulinho,27,Central Midfield,12.6M,sold,Summer,2015,2015/2016
CD Nacional,Without Club,Paulinho,28,Central Midfield,NA,sold,Summer,2016,2016/2017
CF União Madeira,GD Chaves,Paulinho,28,Central Midfield,NA,sold,Summer,2016,2016/2017
GD Chaves,SC Braga,Paulinho,28,Central Midfield,0.315M,sold,Winter,2016,2016/2017
GD Chaves,SC Braga,Paulinho,28,Central Midfield,0.315M,sold,Winter,2016,2016/2017
GZ Evergrande,FC Barcelona,Paulinho,29,Central Midfield,36.0M,sold,Summer,2017,2017/2018
Gil Vicente FC,SC Braga,Paulinho,29,Central Midfield,NA,sold,Summer,2017,2017/2018
Portimonense SC,FC Porto,Paulinho,29,Central Midfield,NA,on loan,Winter,2017,2017/2018
Portimonense SC,FC Porto,Paulinho,29,Central Midfield,NA,on loan,Winter,2017,2017/2018
SC Braga,GD Chaves,Paulinho,29,Central Midfield,NA,sold,Summer,2017,2017/2018
SC Braga,GD Chaves,Paulinho,29,Central Midfield,NA,sold,Summer,2017,2017/2018
FC Barcelona,GZ Evergrande,Paulinho,30,Central Midfield,4.95M,on loan,Summer,2018,2018/2019
FC Barcelona,GZ Evergrande,Paulinho,30,Central Midfield,37.8M,sold,Winter,2018,2018/2019
FC Porto,Portimonense SC,Paulinho,30,Central Midfield,2.27M,sold,Summer,2018,2018/2019
FC Porto,Portimonense SC,Paulinho,30,Central Midfield,NA,on loan,Summer,2018,2018/2019
FC Porto,Portimonense SC,Paulinho,30,Central Midfield,2.27M,sold,Summer,2018,2018/2019
FC Porto,Portimonense SC,Paulinho,30,Central Midfield,NA,on loan,Summer,2018,2018/2019
GZ Evergrande,FC Barcelona,Paulinho,30,Central Midfield,NA,on loan,Winter,2018,2018/2019
Portimonense SC,FC Porto,Paulinho,30,Central Midfield,2.7M,sold,Summer,2018,2018/2019
Portimonense SC,FC Porto,Paulinho,30,Central Midfield,2.7M,sold,Summer,2018,2018/2019
Vasco da Gama,Bayer 04 Leverkusen,Paulinho,30,Central Midfield,16.65M,sold,Summer,2018,2018/2019
Fluminense U20,Boavista FC,Paulinho,31,Central Midfield,NA,sold,Summer,2019,2019/2020
Portimonense SC,HB CFFC,Paulinho,31,Central Midfield,NA,sold,Winter,2019,2019/2020
AEK Athens,Gil Vicente FC,Paulinho,32,Central Midfield,NA,sold,Winter,2020,2020/2021
SC Braga,Sporting CP,Paulinho,32,Central Midfield,14.4M,sold,Winter,2020,2020/2021
SC Braga,Sporting CP,Paulinho,32,Central Midfield,14.4M,sold,Winter,2020,2020/2021
Boavista FC,Shabab,Paulinho,33,Central Midfield,0.9M,sold,Summer,2021,2021/2022
Gil Vicente FC,Moreirense FC,Paulinho,33,Central Midfield,NA,sold,Summer,2021,2021/2022
Gil Vicente FC,Moreirense FC,Paulinho,33,Central Midfield,NA,sold,Summer,2021,2021/2022
SC Farense,Belenenses SAD,Pelé,16,Central Midfield,NA,sold,Summer,2003,2003/2004
Belenenses SAD,Southampton FC,Pelé,19,Central Midfield,1.17M,sold,Summer,2006,2006/2007
Southampton FC,West Bromwich Albion,Pelé,20,Central Midfield,1.35M,sold,Summer,2007,2007/2008
