from club,to club,player name,age,position,fee,transfer type,period,year,season
Sporting U19,Sporting CP,Cristiano Ronaldo,17,Centre-Forward,NA,sold,Summer,2002,2002/2003
Sporting CP,Man Utd,Cristiano Ronaldo,18,Centre-Forward,17.1M,sold,Summer,2003,2003/2004
Sporting CP,Manchester United,Cristiano Ronaldo,18,Centre-Forward,17.1M,sold,Summer,2003,2003/2004
Man Utd,Real Madrid,Cristiano Ronaldo,24,Centre-Forward,84.6M,sold,Summer,2009,2009/2010
Manchester United,Real Madrid,Cristiano Ronaldo,24,Centre-Forward,84.6M,sold,Summer,2009,2009/2010
Real Madrid,Juventus FC,Cristiano Ronaldo,33,Centre-Forward,105.3M,sold,Summer,2018,2018/2019
Real Madrid,Juventus FC,Cristiano Ronaldo,33,Centre-Forward,105.3M,sold,Summer,2018,2018/2019
Juventus FC,Man Utd,Cristiano Ronaldo,36,Centre-Forward,13.5M,sold,Summer,2021,2021/2022
Juventus FC,Manchester United,Cristiano Ronaldo,36,Centre-Forward,13.5M,sold,Summer,2021,2021/2022
