from club,to club,league,player name,age,position,fee,transfer type,period,year,season,tranfer between
Ajax Amsterdam,Real Madrid,Primera Division,Wesley Sneijder,23,Attacking Midfield,24.3M,sold,Summer,2007,2007/2008,international
Ajax Amsterdam,Real Madrid,Primera Division,Klaas-Jan Huntelaar,25,Centre-Forward,24.3M,sold,Winter,2008,2008/2009,international
