Club name,Country,League,Total Market Value (in M),Squad size,Average age,Number of national team players
Charlotte,United States,Major League Soccer,27.07,28,24.9,18
Charlton Athletic,England,League One,9.45,30,25.9,10
Chaux-de-Fonds,Switzerland,1. Liga group 1,68,24,23.9,12
Chavdar,Bulgaria,Vtora Liga,270,20,24.9,0
Chelmsford City,England,National League South,,23,26.5,3
Chelmsford,England,National League South,,23,26.5,3
Chelsea FC,England,UEFA Champions League,794.70,27,26.7,19
Chelsea Res.,,,,,,
Cheltenham Town,England,League One,4.43,27,24.3,4
Cheltenham,England,League One,4.43,27,24.3,4
Chemie Leipzig,Germany,Regionalliga Nordost,1.12,26,25.7,1
Chemik Police,Poland,3 Liga - Group II,,30,21.0,2
Chemnitzer FC,Germany,Regionalliga Nordost,1.89,25,24.6,4
Chennaiyin FC,India,Indian Super League,3.40,32,25.7,7
Cheonan Ilhwa,,,,,,
Chern. Burgas,Bulgaria,Vtora Liga,185,29,26.1,0
Cherno More,Bulgaria,efbet Liga,4.82,26,24.7,9
Chernomor N,Russia,,,1,18.0,0
Chernomorets N.,Russia,Russian FNL-2 Group 1,2.75,24,22.4,0
Chernomorets Novorossijsk,Russia,Russian FNL-2 Group 1,2.75,24,22.4,0
Cherry Orchard FC,Ireland,FAI Cup,,12,31.3,0
Chertanovo,Russia,Russian FNL-2 Group 2,2.99,25,21.6,0
Chertsey,England,,,3,30.7,1
Cheshunt,England,,,15,26.1,6
Chesterfield FC,England,National League,,27,28.2,5
Chevremont,Netherlands,,,7,27.1,0
Chiangrai Utd.,Thailand,Thai League Cup,4.12,24,27.2,4
Chiapas FC,Mexico,Liga MX Clausura,,0,,
Chibuto,Mozambique,,,2,33.0,0
Chicago Fire,United States,Major League Soccer,24.28,28,23.1,13
Chicago,United States,Major League Soccer,24.28,28,23.1,13
Chichester,England,FA Cup,,19,24.3,2
Chiclana CF,Spain,,,10,28.1,0
Chieri,Italy,Serie D - Girone A,842,24,22.9,2
Chieti,Italy,Serie D - Girone F,612,23,22.8,1
Chievo Verona,Italy,Campionato nazionale Under 17 2020/21,,14,17.4,3
Chievo Youth,Italy,,,0,,
Chindia,Romania,Liga 1 - Relegation group,8.40,30,25.6,7
Chippenham,England,National League South,23,32,23.1,12
Chivas USA,United States,Major League Soccer,,0,,
Chkalovets,Russia,Russian Cup,,0,,
Chkalovets-1936,,,,,,
Chkalovets-O,Russia,Russian Cup,,0,,
Chmel Blsany,Czech Republic,Fortuna Liga,,0,,
Chojniczanka,Poland,eWinner II liga,315,29,24.6,1
Chonbuk Motors,,,,,,
Chonburi FC,Thailand,Thai League Cup,3.78,27,24.2,6
Chorley FC,England,National League North,45,25,24.9,2
Chorley,England,National League North,45,25,24.9,2
Chornomorets,Ukraine,Premier Liga,6.93,23,26.0,7
Chorrillo FC,Panama,Liga Panameña de Fútbol Apertura,1.53,24,23.1,2
Chukyo HS,Japan,,,0,,
Chuncheon FC,"Korea, South",K4 League,1.92,34,23.9,0
Chunnam Dragons,"Korea, South",K League 2,7.16,35,25.2,4
Cianorte,Brazil,,720,31,25.6,0
Cibalia,Croatia,2.HNL,2.06,22,23.0,4
Cienciano,Peru,Copa Sudamericana,6.10,28,25.2,8
Ciliverghe,Italy,Serie D - Girone D,68,19,24.2,2
Cincinnati Riverhawks,United States,,,0,,
Cincinnati,United States,Major League Soccer,22.73,28,25.5,16
Cinfães,Portugal,Taça de Portugal Placard,,23,23.9,7
Cirencester,England,,,16,28.3,1
Cisco Col.,Italy,,,0,,
Cisco Lodigiani,,,,,,
Cisco Roma,,,,,,
Ciserano,Italy,Serie D - Girone B,828,21,22.9,1
Cittadella,Italy,Serie B,11.27,28,25.4,7
Città Varese,Italy,Serie D - Girone A,1.06,23,23.7,2
Ciudad Murcia,Spain,,,15,26.3,0
Cjarlins Muzane,Italy,Serie D - Girone C,1.06,26,23.5,5
Clermont FA,,,,,,
Clermont Foot 63,France,Ligue 1,38.39,27,26.0,15
Clevedon Town FC,England,,,2,38.0,0
Cliftonville,Northern Ireland,JBE League Cup,1.57,26,25.3,6
Clitheroe,England,,135,25,29.3,6
Club Africain,Tunisia,Ligue Professionnelle 1,8.24,34,24.2,5
Club Blooming,Bolivia,División Profesional Apertura,5.20,32,25.7,6
Club Bruges,Belgium,Jupiler Pro League,144.50,29,24.9,18
Club Brugge,Belgium,Jupiler Pro League,144.50,29,24.9,18
Club Hayes,Paraguay,,23,7,32.4,2
Club NXT,Belgium,1B Pro League,3.92,23,18.0,6
Club P.E.F. Matienzo,Argentina,,,0,,
Club Petrolero,Bolivia,Copa Sudamericana,,1,33.0,0
Club Tijuana,Mexico,Liga MX Clausura,32.58,25,26.5,12
Clube Futebol Estrela da Amadora,,,,,,
Clube de Regatas Guará (DF),,,,,,
Clyde FC,Scotland,Scottish League One,180,21,27.1,4
Clydebank FC,Scotland,SFA Cup,248,22,26.2,0
Coalville Town,England,,90,13,26.2,3
Cobh Ramblers,Ireland,SSE Airtricity League First Division,,32,22.0,1
Cobreloa,Chile,,4.23,37,26.5,5
Coimbra-MG,Brazil,Campeonato Mineiro,,9,26.1,0
Coimbrões,Portugal,Taça de Portugal Placard,,10,28.7,2
Colatina Futebol Clube (ES),,,,,,
Colchester United,England,League Two,4.10,26,26.0,6
Colchester Utd.,England,League Two,4.10,26,26.0,6
Colegiales,Argentina,,248,18,28.4,2
Coleraine,Northern Ireland,JBE League Cup,1.87,20,28.0,0
Colne,England,,90,1,20.0,1
Colo Colo,Chile,Primera División de Chile,14.92,30,23.4,7
Colorado Foxes,United States,,,0,,
Colorado,United States,Major League Soccer,26.06,30,25.2,14
Colorno,Italy,,68,17,27.4,5
Columbus Crew,United States,Major League Soccer,29.72,29,27.0,14
Com. Indústria,Portugal,,,13,29.6,3
Comercial (AL),,,,,,
Comercial-SP,Brazil,,23,12,28.5,0
Como Calcio,,,,,,
Comprensorio,Italy,,,4,24.3,1
Comunicaciones,Guatemala,CONCACAF Champions League,4.97,30,26.0,7
Conc. Ihrhove,Germany,Oberliga Niedersachsen/Bremen (bis 03/04),,22,32.9,4
Concarneau,France,Championnat National,5.29,21,26.3,2
Concord Rangers,England,National League South,135,24,24.5,2
Condeixa,Portugal,Taça de Portugal Placard,,24,23.5,6
Confiança-SE,Brazil,Campeonato Sergipano,2.16,29,27.7,0
Connah's Quay,Wales,Cymru Premier Relegation Conference,1.49,23,28.5,17
Constructorul,,,,,,
Coquimbo Unido,Chile,Primera División de Chile,7.92,38,26.4,5
Cor. Bolognesi,Peru,Torneo Descentralizado Segunda Fase,248,4,25.0,0
Corinthians,Brazil,Campeonato Paulista - Série A1,72.68,32,26.8,2
Coritiba FC,Brazil,,17.17,31,26.0,2
Cork City,Ireland,SSE Airtricity League First Division,437,29,22.5,5
Corona Brasov,Romania,Liga 2,2.04,34,24.1,5
Correcaminos,Mexico,Liga de Expansión MX Clausura,6.59,27,24.8,4
Correggese,Italy,Serie D - Girone D,801,25,23.0,3
Cortuluá,Colombia,Liga Dimayor I,5.38,33,24.5,2
Coruripe,Brazil,,45,9,29.0,0
Corvinul Hunedoara,Romania,Balkan-Cup,,0,,
Cosenza,Italy,Serie B,15.23,31,25.4,12
Cosmos Canberra,Australia,,,0,,
Cotia-SP,Brazil,,,0,,
Cotonsport,Cameroon,CAF Confederation Cup,203,55,24.2,12
Cova Piedade,Portugal,Taça de Portugal Placard,405,29,25.8,12
Coventry City,England,Championship,17.91,24,25.7,9
Cracovia,Poland,PKO Ekstraklasa,13.82,37,23.8,19
Crawley Town,England,League Two,2.41,32,25.1,10
Cray Wanderers FC,England,,,16,27.2,2
Cremapergo,Italy,Serie C - Girone A,3.98,28,24.6,4
Cremonese Giov.,Italy,,,11,15.9,4
Crewe Alexandra,England,League One,4.57,26,23.6,8
Criciúma EC,Brazil,Copa do Brasil,2.99,21,26.8,1
Cristelo,Portugal,,,0,,
Croatia Zagreb,,,,,,
Crociati Noceto,Italy,Lega Pro Seconda Divisione - Girone B,,4,25.5,0
Croix Daurade,France,,,2,32.0,0
Croix de Savoie,,,,,,
Croydon Ath.,England,,,0,,
Crucero,Argentina,Primera Nacional,90,11,29.2,1
Crumlin United,Ireland,FAI Cup,45,46,29.1,2
Crusaders,Northern Ireland,Danske Bank Premiership,1.52,24,27.6,1
Cruz Azul Hid.,Mexico,Liga de Expansión MX Clausura,,13,25.9,0
Cruzeiro,Brazil,Campeonato Mineiro,14.45,31,25.4,1
Cruzeiro-RS,Brazil,,90,19,31.1,1
Crystal Palace,England,Premier League,215.96,26,27.4,14
Cucujães,Portugal,,,3,27.7,0
Cuiabá-MT,Brazil,Copa do Brasil,16.16,26,28.6,3
Cukaricki,Serbia,Super liga Srbije,14.85,28,23.5,8
Cuneo,Italy,Play-out Serie C,9,3,24.0,0
Cuoio Cappiano,Italy,Play-off/out Lega Pro 2a Divisione,158,17,25.5,0
Cusco FC,Peru,Liga 1 Clausura,4.57,22,27.8,6
Cwmbran,Wales,Welsh Cup,,19,25.4,1
CyD Leonesa,Spain,Primera División R.F.E.F. - Grupo I,4.73,27,25.1,6
Cynthia,Italy,Serie D - Girone G,1.09,24,24.1,4
Cádiz CF,Spain,LaLiga,55.94,28,28.1,10
Câmara Lobos,Portugal,Taça de Portugal Placard,,23,24.3,7
César Vallejo,Peru,Liga 1 Apertura,6.50,32,24.7,6
Córdoba CF,Spain,Segunda División R.F.E.F. - Grupo IV,2.99,24,26.8,2
Cúcuta Dep.,Colombia,Liga Dimayor I,315,6,26.3,0
D. Calarasi,Romania,Liga 2,819,25,19.5,0
D. Concepción,Chile,Primera B Clausura (-2016),2.34,40,24.3,5
D. Dresden,Germany,B-Junioren Bundesliga Nord/Nordost,,20,16.1,3
D. Porto Tolle,,,,,,
D. Voronezh,Russia,Soviet Cup,,0,,
D. Zenica,Bosnia-Herzegovina,,,0,,
D.C. United,United States,Major League Soccer,19.80,26,24.9,12
D.N.H. Nam Dinh,,,,,,
DCV Krimpen,Netherlands,KNVB beker,,9,26.6,0
DETO,North Macedonia,,45,9,25.1,0
DFC Delfia,Netherlands,,,0,,
DFC,France,Ligue 2,16.61,24,27.0,11
DHC,"Korea, South",K League 2,8.75,41,23.3,2
DHSC Utrecht,Netherlands,Hoofdklasse A Saturday,225,25,27.7,4
DL Aerbin,,,,,,
DL Pro,China,Chinese Super League Relegation Play-Offs,6.75,34,25.2,3
DL Shide,China,Chinese Super League,,0,,
DL Wanda Shide,,,,,,
DL Yifang,,,,,,
DNŠ Zavrč,Slovenia,Druga Liga,9,11,24.8,3
DOTO Pernis,Netherlands,,,0,,
DRC Amsterdam,Netherlands,,,0,,
DSV 04,Germany,Landespokal Niederrhein,,13,28.3,6
DSV Leoben,Austria,Landesliga Steiermark,,22,26.8,10
DVS '33,Netherlands,Derde Divisie Saturday,90,21,25.1,1
DWS,Netherlands,Eredivisie,,11,28.6,1
DWV,Netherlands,KNVB beker,,0,,
DYuSSh Spartak,Russia,,,0,,
DZC '68,Netherlands,KNVB beker,,10,27.5,0
Da Nang FC,Vietnam,V.League 1,2.30,35,25.9,3
Dacia B.,Moldova,Divizia Nationala,932,25,21.8,0
Dacia,Moldova,Divizia Nationala,932,25,21.8,0
Daco-Getica,Romania,Liga 2,,1,,0
Daegu FC,"Korea, South",AFC Champions League-Qualification,10.67,41,23.8,4
Daejeon Citizen,"Korea, South",,,0,,
Daewoo Royals,,,,,,
Dag & Red FC,Montenegro,World Cup qualification Europe,51.28,28,28.9,19
Dagdiesel,Russia,Russian FNL-2 Group 1,,0,,
Dakar UC,Senegal,,,6,35.0,0
Dalkurd,Sweden,Relegation Superettan,2.23,22,23.7,8
Dallas Burn,,,,,,
Dallas,United States,Major League Soccer,36.50,28,23.8,12
Damac FC,Saudi Arabia,Saudi Professional League,5.42,37,26.8,7
Damascus,Syria,,360,26,26.1,0
Damash Gilan,Iran,Azadegan League,158,22,28.6,0
Danubio FC,Uruguay,Primera División Apertura,5.06,30,25.0,3
Darlington 1883,,,,,,
Darlington,England,National League North,270,29,26.7,3
Dartford,England,National League South,180,22,26.8,6
Daugavpils,Latvia,Virsliga,1.41,22,22.6,7
Daventry Town,England,FA Cup,,9,29.4,1
Daytona Beach Eagles,United States,,,1,26.0,1
De Bataven,Netherlands,Hoofdklasse A Sunday,,21,26.4,0
De Dijk,Netherlands,Hoofdklasse B Saturday,,25,23.2,1
De Graafs.,,,,,,
De Graafschap Doetinchem,Netherlands,Keuken Kampioen Divisie,6.23,27,24.3,2
De Meern,Netherlands,Hoofdklasse B Sunday,,4,27.3,0
De Treffers,Netherlands,Jack’s League,428,22,26.2,0
De Tubanters,Netherlands,,,0,,
De Volewijckers,Netherlands,Keuken Kampioen Divisie,,7,23.0,2
Debrecen,Hungary,Nemzeti Bajnokság,6.48,31,25.4,6
Defensa,Argentina,Copa de la Liga Profesional de Fútbol,24.80,25,26.1,3
Defensor,Uruguay,Primera División Apertura,6.32,29,23.1,1
Defensores,Argentina,Primera Nacional,2.39,27,27.0,0
Degerfors,Sweden,Svenska Cupen,6.46,22,25.8,8
Delfino Pescara 1936,Italy,Serie C - Girone B,5.38,26,25.0,5
Delfín SC,Ecuador,Copa Sudamericana,6.84,24,26.5,5
Delta PT,Italy,Serie D - Girone C,797,24,23.0,2
Delta Rovigo,Italy,,,0,,
Democrata,Brazil,Campeonato Mineiro,270,35,27.0,0
Denizlispor,Turkey,1.Lig,4.14,32,26.2,8
Dep. Aviación,Peru,,,0,,
Dep. Coopsol,Peru,Liga 2,2.01,21,25.5,4
Dep. Cuenca,Ecuador,LigaPro Serie A Primera Etapa,5.27,28,26.0,6
Dep. Español,Argentina,,113,7,30.1,1
Dep. La Coruña,Spain,Primera División R.F.E.F. - Grupo I,6.95,24,26.3,3
Dep. La Guaira,Venezuela,Copa Sudamericana,4.07,26,22.4,3
Dep. Municipal,Peru,Liga 1 Apertura,5.76,26,25.5,6
Depor Fabril,Spain,Segunda División B - Grupo I (till 20/21),225,17,20.4,1
Depor. Alavés,Spain,Segunda División B - Fase de descenso,1.89,21,20.8,9
Deportes Temuco,Chile,,3.69,33,25.8,5
Deportes Tolima,Colombia,Liga Dimayor I,19.78,31,27.6,5
Deportivo Alavés,Spain,LaLiga,60.21,26,26.7,8
Deportivo Azogues,Ecuador,,,3,30.3,1
Deportivo Cali,Colombia,Liga Dimayor I,13.23,31,24.5,4
Deportivo Lara,Venezuela,Liga de Fútbol Profesional Venezolano,3.92,30,24.1,2
Deportivo Pasto,Colombia,Liga Dimayor I,7.13,35,26.7,4
Deportivo Quito,Ecuador,Copa Ecuador,45,20,27.8,2
Deportivo de La Coruña,Spain,Primera División R.F.E.F. - Grupo I,6.95,24,26.3,3
Derby Acad.,Mali,,,0,,
Derby County,England,Championship,27.09,20,25.4,11
Derry City,Northern Ireland,SSE Airtricity League Premier Division,1.55,25,23.4,12
Derthona,Italy,Serie D - Girone A,716,25,23.1,8
Desna,Ukraine,Premier Liga,5.29,21,24.4,2
Desp. Brasil,Brazil,,293,18,23.9,1
Desportiva-ES,Brazil,Campeonato Capixaba,68,32,30.4,1
Desportivo Aves,Portugal,Liga Revelação U23,,7,22.3,2
Dessel Sport,Belgium,1ste Nationale,158,22,24.5,2
Diables Noirs,Congo,CAF Confederation Cup,158,37,28.4,20
Diagoras,Greece,Super League 2,2.18,25,22.1,5
Diambars FC,Senegal,CAF Confederation Cup,293,30,21.9,1
Dibba Al-Hisn,United Arab Emirates,,68,21,29.9,7
Dibba Fujairah,United Arab Emirates,UAE Pro League,450,26,29.5,7
Diegem Sport,Belgium,2de Nationale VFV B,23,25,22.5,1
Differdange 03,Luxembourg,BGL Ligue,1.44,26,25.0,15
Digenis Morfou,Cyprus,Kypello Kyprou,45,12,26.3,4
Dijkse Boys,Netherlands,,,0,,
Dijon FCO,France,Ligue 2,16.61,24,27.0,11
Din-Gaz Tyumen,,,,,,
Din. Daugavpils,,,,,,
Din. Stavropol,Russia,Russian FNL-2 Group 1,1.71,27,21.9,0
Din. Zagreb,Croatia,1.HNL,91.22,29,25.2,12
DinSPb,Russia,Russian FNL-2 Group 2,1.91,26,23.0,0
Dinaburg,Latvia,Europa League Qualifying,,0,,
Dinamo 93,Belarus,Vysheyshaya Liga,,0,,
Dinamo Barnaul,Russia,Russian FNL-2 Group 4,2.05,27,24.1,0
Dinamo Batumi,Georgia,Crystalbet Erovnuli Liga,7.40,26,27.5,5
Dinamo Bryansk,Russia,Russian FNL-2 Group 3,2.76,28,22.7,0
Dinamo Bucarest,,,,,,
Dinamo Bukarest,Romania,,,1,,0
Dinamo Makhach.,Russia,Russian FNL-2 Group 1,4.25,28,23.6,0
Dinamo Makhachkala,Russia,Russian FNL-2 Group 1,4.25,28,23.6,0
Dinamo Minsk,Belarus,Belarusian Cup,5.40,25,24.7,3
Dinamo Moscow,,,,,,
Dinamo S-Pb,Russia,,,1,17.0,1
Dinamo SPb,Russia,,,0,,
Dinamo Stavropol,Russia,Russian FNL-2 Group 1,1.71,27,21.9,0
Dinamo Tbilisi,Georgia,Crystalbet Erovnuli Liga,5.42,25,22.8,7
Dinamo Ufa,Russia,,,0,,
Dinamo Vologda,Russia,Russian FNL-2 Group 2,,0,,
Dinamo Zagreb,Croatia,1.HNL,91.22,29,25.2,12
Dinamo-Gazovik Tyumen,,,,,,
Diogo Cão,Portugal,,,0,,
Diyarbakirspor,Turkey,Bölgesel Amatör Lig Playoff,,23,27.5,0
Diósgyőr,Hungary,Nemzeti Bajnokság II.,4.48,29,25.7,3
Djoliba AC,Mali,CAF Confederation Cup,135,31,26.8,6
Djurgarden,Sweden,Svenska Cupen,18.32,27,24.9,10
Dnepr Smolensk,Russia,Russian FNL-2 Group 2,,0,,
Dnepr-Transmash,,,,,,
Dnipro,Ukraine,Premier Liga,16.56,20,25.2,7
Dolgoprudnyi,Russia,1.Division,4.66,28,25.0,4
Dolomiti,Italy,Serie D - Girone C,1.04,24,23.6,3
Dolphin FC,Nigeria,,,14,35.7,3
Domodedovo,Russia,Russian FNL-2 Group 3,1.32,27,23.3,0
Don Bosco Moca,,,,,,
Doncaster Rovers,England,League One,6.28,32,24.0,6
Donji Srem,Serbia,Prva liga Srbije,23,7,24.6,1
Doppl-Hart,Austria,,,5,29.4,0
Dorados,Mexico,Liga de Expansión MX Clausura,6.53,25,23.1,3
Dorchester,England,FA Cup,68,16,26.3,4
Dordoi,Kyrgyzstan,BC Olimp Premier League,1.98,22,24.3,3
Dordrecht'90,,,,,,
Dover Athletic,England,National League,293,25,23.3,8
Doxa Dramas,Greece,Super League 2 Playout,833,28,23.6,1
Doxa Katokopias,Cyprus,Protathlima Cyta Relegation Round,5.15,28,26.0,16
Drachten,Netherlands,KNVB beker,,0,,
Drachtster Boys,Netherlands,KNVB beker,,18,26.6,0
Dragões,Portugal,Liga Portugal,233.37,26,26.4,14
Drava Ptuj,Slovenia,Druga Liga,441,26,23.0,8
Dreams FC,Ghana,Ghana Premier League,1.37,29,21.1,0
Drechtstreek,Netherlands,,,0,,
Dresd.-Stries.,,,,,,
Dresdner SC,Germany,Landespokal Sachsen,,27,27.2,2
Drnovice,Czech Republic,Fortuna Liga,,1,30.0,0
Drogheda United,Ireland,SSE Airtricity League Premier Division,945,27,23.5,1
Droylsden,England,FA Cup,45,13,30.4,2
Druzhba Maikop,Russia,Russian FNL-2 Group 1,2.16,29,23.3,0
Dubai CSC,United Arab Emirates,UAE Pro League,,0,,
Dublin City FC,Ireland,SSE Airtricity League Play-Offs,,0,,
Dubnica,Slovakia,II. Liga,1.64,26,23.2,7
Due Torri,Italy,Serie D - Girone I,,1,28.0,0
Dukla Prague,Czech Republic,Fortuna Narodni liga,3.22,21,25.0,4
Dulwich Hamlet FC,,,,,,
Dumbarton FC,Scotland,Scottish League One,135,22,25.3,6
Dumbarton,Scotland,Scottish League One,135,22,25.3,6
Dunaferr SE,Hungary,UEFA-Cup Qualifikation,,0,,
Dunajska Streda,Slovakia,Fortuna Liga - Championship Group,10.51,32,22.7,23
Dunaújváros,Hungary,Magyar Kupa,180,24,25.6,0
Dundalk FC,Ireland,SSE Airtricity League Premier Division,1.94,28,24.4,8
Dundee FC,Scotland,SFA Cup,6.68,26,26.7,11
Dundee United,Scotland,SFA Cup,9.20,26,25.2,12
Dunedin Technical AFC,New Zealand,,,9,32.8,1
Dunfermline A.,Scotland,Scottish Championship,5.24,24,24.9,8
Dunkirk FC,England,,,3,27.0,1
Duque de Caxias,Brazil,Campeonato Brasileiro Série B,,6,33.3,0
Durlach-Aue,Germany,Verbandsliga Nordbaden,,24,25.1,6
Dustlik,Uzbekistan,,,0,,
Dvina Vitebsk,,,,,,
Dynamo 2 Kyiv,Ukraine,Persha Liga,,0,,
Dynamo Brest,Belarus,Belarusian Cup,2.36,25,24.5,7
Dynamo Douala,Cameroon,,,0,,
Dynamo Kyiv,Ukraine,Premier Liga,97.65,27,25.3,3
Dynamo Moscow,Russia,Premier Liga,94.23,24,25.1,7
Düsseldorf-West,Germany,Oberliga Niederrhein,9,25,25.8,8
E. Amadora,Portugal,,,1,20.0,0
E. Braunschweig,Germany,3. Liga,6.48,27,24.8,3
E. Cottbus,Germany,A-Junioren Bundesliga Nord/Nordost,113,25,17.9,1
E. Ettelbrück,Luxembourg,BGL Ligue,864,31,24.0,13
E. Frankfurt,Germany,Bundesliga,179.82,32,25.1,20
E. Kamyshin,Russia,,,0,,
EA Guingamp,France,Ligue 2,15.17,25,24.4,6
EC Bahia,Brazil,Campeonato Baiano,14.72,21,26.0,3
EC Ipitanga,Brazil,,,1,32.0,0
EC Juventude,Brazil,,14.02,26,26.3,2
EC Pelotas (RS),,,,,,
EC São José,Brazil,,360,38,24.5,2
EC Vitória,Brazil,Copa do Brasil,3.38,24,27.1,2
EC Água Santa,Brazil,Campeonato Paulista - Série A1,3.15,27,26.5,0
EF Ouagadougou,Burkina Faso,,,12,32.6,1
EFC Stahl,Germany,Brandenburgliga,,29,27.9,3
EHC Hoensbroek,Netherlands,Hoofdklasse B Sunday,,22,26.1,2
EN Paralimniou,Cyprus,Kypello Kyprou,2.18,28,24.1,13
ES La Rochelle,France,,,5,28.8,0
ES Pennoise,France,,,6,33.3,4
ES Sahel,Tunisia,Ligue Professionnelle 1,9.41,34,24.9,10
ES Sétif,Algeria,CAF-Champions League,8.10,30,26.2,2
ES Troyes AC,,,,,,
ES Uzès PdG,,,,,,
ES Vitrolles,France,Coupe de France,,0,,
ES Wasquehal,France,Coupe de France,9,27,25.6,1
ESA Brive,France,Coupe de France,,7,33.6,2
ESTAC Troyes,France,Ligue 1,52.88,32,26.2,18
ETO FC Győr,Hungary,Nemzeti Bajnokság II.,2.17,26,25.1,2
EVV Echt,Netherlands,Derde Divisie Sunday,135,23,24.7,3
Eagle Cement,Nigeria,,,0,,
East Fife,Scotland,Scottish League One,248,27,25.0,0
East Grinstead,England,,,13,29.0,1
East Preston,England,,,3,26.0,0
Eastbourne,England,National League South,,24,23.8,4
Eastern,Hongkong,Hong Kong Sapling Cup,4.42,30,27.0,10
Eastleigh FC,England,National League,450,21,27.2,4
Eastleigh,England,National League,450,21,27.2,4
Eastwood Town,England,FA Cup,,8,38.3,0
Ebbsfleet,England,National League South,45,25,26.8,5
Ebbw Vale,Wales,UEFA Intertoto Cup,,0,,
Ebolitana,Italy,,,2,21.5,1
Eendracht Aalst,Belgium,2de Nationale VFV B,,23,24.4,2
Eintr. Haiger,Germany,DFB-Pokal,,0,,
Eintr. Nordhorn,Germany,,,22,27.7,12
Eintr. Rheine,Germany,Oberliga Westfalen,,24,24.7,1
Eintracht Braunschweig,Germany,3. Liga,6.48,27,24.8,3
Eintracht Frankfurt,Germany,Bundesliga,179.82,32,25.1,20
Eintracht Trier,Germany,Oberliga Rheinland-Pfalz/Saar,,28,24.2,6
Eintracht Wels,Austria,ÖFB-Cup,,0,,
Eiriz,Portugal,,,4,28.3,0
Ekaterinodar,,,,,,
Ekibastuzets,Kazakhstan,,,0,,
Ekranas,Lithuania,,135,14,25.3,3
El Ahly,Egypt,CAF-Champions League,28.67,36,25.9,5
El Gouna,Egypt,Egyptian Premier League,4.34,34,28.3,5
El Ittihad,Egypt,Egyptian Premier League,5.06,31,27.3,5
El Masry,Egypt,CAF Confederation Cup,6.48,36,27.2,6
El Mokawloon,Egypt,Egyptian Premier League,5.54,40,28.9,4
El Paso,United States,USL Championship,3.38,22,27.9,15
El-Jaish,Qatar,Qatar Stars League,,3,33.7,0
Elazigspor,Turkey,3.Lig Grup 1,563,40,23.2,0
Elche CF,Spain,LaLiga,43.65,24,29.3,10
Elche Ilicitano,Spain,Promoción de ascenso a Segunda RFEF,383,18,20.1,1
Eldense,Spain,Segunda División R.F.E.F. - Grupo V,2.14,23,25.0,2
Electr. Craiova,Romania,UEFA-Cup (-2009),,0,,
Elfsborg,Sweden,Svenska Cupen,14.13,26,22.8,9
Elinkwijk,Netherlands,KNVB beker,,3,31.3,1
Eléctrico,Portugal,Taça de Portugal Placard,,2,32.0,0
Empoli FC Youth,Italy,,,7,19.6,0
Empoli FC,Italy,Serie A,81.99,28,25.2,11
Energetik Uren,Russia,Russian Cup,,0,,
Energia Shatura,Russia,,,0,,
Energomash,Russia,Russian FNL-2 Group 3,,0,,
Enfield FC,England,,,11,29.9,0
Enfield Town,England,,9,24,27.3,6
Enisey Krasnoyarsk,Russia,1.Division,7.36,33,26.0,2
Enköpings SK,Sweden,Svenska Cupen,,15,25.4,1
Enppi SC,Egypt,Egyptian Premier League,4.75,35,26.1,2
Entente SSG,France,Championnat National 2 - Groupe B,180,25,24.8,5
Enugu Rangers,Nigeria,Nigeria Professional Football League,90,42,27.0,6
Envigado,Colombia,Liga Dimayor I,5.94,32,22.4,5
Enyimba Aba,Nigeria,Nigeria Professional Football League,90,39,23.8,6
Ergotelis,Greece,Super League 2,4.01,29,22.3,10
Erkenschwick,Germany,Westfalenliga 1,,28,26.2,4
Ermesinde 1936,Portugal,,,15,29.7,0
Ermis Aradippou,Cyprus,Kypello Kyprou,1.85,24,25.8,14
Erzgebirge Aue,Germany,2. Bundesliga,9.97,32,25.5,9
Erzu,Turkey,1.Lig,5.87,28,27.7,10
Esbjerg fB,Denmark,1.Division,6.08,34,21.9,14
Eskisehirspor,Turkey,,1.51,22,21.0,1
Esmoriz,Portugal,Taça de Portugal Placard,,11,33.9,3
Esp. Lagos,Portugal,Taça de Portugal Placard,68,24,24.5,7
Esp. Neerpelt,,,,,,
Española,Spain,World Cup qualification Europe,652.50,25,27.0,12
Esperance,France,Ligue 1,52.88,32,26.2,18
Esposende,Portugal,,,5,34.2,0
Esteghlal FC,Iran,Persian Gulf Pro League,9.36,24,25.7,4
Estoril Praia,Portugal,Liga Portugal,23.81,29,24.5,17
Estrela Clube,Angola,,,0,,
Estrela-ES,Brazil,Campeonato Capixaba,,32,27.7,0
Estudiantes,Argentina,Copa de la Liga Profesional de Fútbol,27.61,27,25.3,5
Etar,Mexico,Liga MX Clausura,21.33,30,27.9,11
Ethiopian C.,Ethiopia,CAF Confederation Cup,338,22,24.8,1
Ethn. Asteras,Greece,Kypello Elladas,,2,34.0,1
Ethn. Piraeus,Greece,Kypello Elladas,810,39,26.4,7
Ethnikos,Cyprus,Protathlima Cyta Relegation Round,5.40,24,26.6,12
Etoile Carouge,Switzerland,Promotion League,1.71,29,25.1,11
Eulália Vizela,Portugal,Taça de Portugal Placard,,13,31.5,1
Evagoras Paphos,,,,,,
Everton FC,England,Premier League,408.38,29,27.1,15
Everton Res.,,,,,,
Exc. Mouscron,Belgium,Beker van Belgie,,0,,
Exc. Veldwezel,Belgium,Beker van Belgie,,1,32.0,0
Excelsior '31,Netherlands,Derde Divisie Saturday,,24,24.8,0
Excelsior M,Netherlands,Jack’s League,113,26,22.8,2
